N°,Catégorie,Thème,Question (CTRL + flèche du bas pour aller à la dernière ligne remplie) --- Noms d'oeuvres en italique,Réponse
377,JV,Console,"Avant d'adopter son nom définitif, la Nintendo 64 s'est un temps fait appeler...",L'Ultra 64
378,Culture G,Musique,"Comment s'appelle le groupe faussement roumain créé par Squeezie, KronoMuzik et Myd et à l'origine des parodies de tubes de l'été Time Time et Spaceship ?",Trei Degete
379,Culture G,Youtube,"Avant d'être un steamer sur Twitch, Antoine Daniel était un youtubeur. Comment s'appelait son émission phare ?",What the Cut?!
380,Otaku,Animé,Dans quel animé pouvait-on rencontrer une organisation secrète nommée Nudist Beach ?,Kill la Kill
381,Otaku,Manga,Quel animal l'auteur de Yurucamp - Au grand air semble kiffer au point d'en mettre tout plein dans ses mangas ?,Les toutous
382,Culture G,Zoologie,Quel est le plus gros mammifère rongeur du monde ?,Le capybara
383,Culture G,Musique,"Quelle comédie musicale française de 2002 était une relecture actualisée et très, très, trèèèèèèès libre du conte de Cendrillon ?",Cindy Cendrillon 2002
384,Otaku,Animé,"Katia Aznavour, la fille de Charles, a interprétée l'opening et l'ending français d'un animé de la Toei datant de 2003, lequel ?",Nadja Applefields / Ashita no Nadja
385,JV,Console,Sous quel nom a été dévoilé la Wii au grand public ?,La Revolution
386,JV,Console,Quelle console est à ce jour le plus gros échec commercial de Nintendo ?,Le Virtual Boy (environ 800 000 unités vendues)
387,Culture G,Média,"Dans le jargon médiatique, qu'appelle-t-on l'effet Streisand ?","En cherchant à tout prix à empêcher la divulgation d'une information, on contribue à la faire se propager bien plus que si on n'avait rien fait"
388,Otaku,Animé,"Peux-tu me donner le prénom d'au moins un des sextuplés Matsuno, les protagonistes de Osomatsu-san ?","Osomatsu, Todomatsu, Jûshimatsu, Ichimatsu, Choromatsu, Karamatsu"
389,Otaku,Manga,"Traditionnellement, qui y a-t-il d'écrit sur le T-shirt de l'héroïne d'Uzaki-chan Wants to Hang Out! ?",Sugoi Dekai (ce qui n'est pas beauf... pas du tout)
390,Otaku,Animé,Que sont les Molcars dans la série courte PUI PUI Molcar ?,Des hamster voitures (des rongeurs à moteur selon le titre français)
391,Otaku,Animé,"La première fois que Kyon rencontre Haruhi, quel délire fait-elle avec ses cheveux ?",Elle change de coupe tous les jours de la semaine.
392,Otaku,Manga,De quelle série Gon Freecss est-il le héros ?,Hunter × Hunter
393,Culture G,Mécanique,"Si tu suis bien les vidéos de Vilebrequin, tu dois pouvoir me dire quelle est la voiture ayant conduit au plus gros flop de la marque Renault en France.",L'Avantime
394,Otaku,Manga,"Dans Spy x Family, Anya aime les cahouètes, mais que n'aime-t-elle pas ?",Les carottes. Étudier.
395,Otaku,Manga,"Dans Chainsaw Man, quel démon a causé la mort de plus d'un million d'humain en seulement 5 minutes ?",Le Démon-Flingue
396,Otaku,Animé,"Quel est l'autre nom du ""Château dans le ciel"" ?",Laputa
397,Otaku,Animé,"Dans Gunbuster, qu'offrent les élèves de Kazumi à leur enseignante avant que celle-ci ne parte dans l'espace pour une dernière mission contre les monstres de l'espace ?",Des grues en papier
398,Otaku,Manga,"Au début de Call of the Night, Yamori fait la rencontre de Nazuna, une jeune fille pas tout à fait normal. C'est quoi sa particularité ?",C'est une vampire
399,Otaku,Animé,Quelle est la particularité visuelle du 6e et dernier épisode de l'OVA Gunbuster ?,Il est intégralement en noir et blanc.
400,Otaku,Animé,"Kanon, l'héroïne de Love Live! Superstar partage son nom de famille avec un des quartiers de Tokyo. Lequel ?",Shibuya
401,Otaku,Mobage,"Rin, une des héroïnes principales de The IDOLM@STER Cinderella Girl partage son nom de famille avec un des quartiers de Tokyo. Lequel ?",Shibuya
402,Otaku,BL,"Dans le domaine du manga, que signifient les lettres BL ?","Boys love (un terme bien plus usité au Japon que ""yaoi"")"
403,Culture G,Musique,Sur quel album du groupe Living in a Box peut-on entendre la chanson Living in a Box ?,Living in a Box
404,Otaku,Naruto,Quel est le seul personnage de Naruto à avoir été promu à l'issu de l'arc de l'examen Chûnin ?,Shikamaru Nara
405,Otaku,Pokémon,Quelle montagne sert de frontière naturelle entre Johto et Kanto dans Pokémon ?,Le Mont Argenté
406,Otaku,Pokémon,Il est devenu quoi le Chenipan de Sacha qui se sentait si bien dans sa nouvelle maison (une Pokéball confortable et douillette) ?,"Il a évolué en Chrysacier, puis en Papillusion, puis Sacha l'a relâché pour qu'il puisse vivre sa vie de Papillusion avec d'autres Papillusion et batifoler avec une Papillusionnette."
407,Otaku,Manga,Quel cadre ont en commun les manga de Satsuki Yoshino Barakamon et Slice of Life ?,Ils se passent tous les deux sur une petite île reculée et paisible.
408,Culture G,Télévision,Quels animaux étaient régulièrement intégrés aux jeux de l'émission Interville pour foutre la misère aux candidats ?,Les VACHETTES
409,Otaku,Animé,Complète ce titre d'animé : Darker than...,Black
410,Japon,Politique,Comment s'appelle l'actuel empereur du Japon ?,Naruhito
411,Culture G,Politique,Qui est l'actuel président des Etats-Unis ?,Joe Biden
412,JV,Jeu Vidéo,Quel MMORPG acclamé par la critique est gratuit jusqu'au niveau 60 et ce alors qu'il inclue l'extension récompensée Heavensward ?,Final Fantasy XIV
413,Otaku,Convention,Comment s'appelle la plus grande convention japonaise de fanzine qui a lieu deux fois par an à Tokyo depuis 1975 ?,Le Comiket (Comic Market)
414,JV,Jeu Vidéo,De quels jeux vidéos les personnages de Smash Bros. Ness et Lucas proviennent-ils à l'origine ?,Mother 2 (Earthbound) et Mother 3
415,JV,Console,Quel a été le jeu le plus vendu de la Wii ?,"Wii Sports avec 83 M d'exemplaires (en même temps, il était vendu avec la console, donc c'est de la triche ^^, sinon c'est Mario Kart Wii, mais il s'est vendu à ""seulement"" 37 M)"
416,Culture G,Littérature,"Dans le roman H2G2, l'humanité est persuadé d'être l'espèce la plus intelligente de la Terre, mais elle n'est en fait que la 3e du classement. Quelles espèces la domine ?",Les dauphins (2e) et les souris de laboratoire (1re)
417,Culture G,Anatomie,Dans quelle partie du corps trouve-t-on l'humérus ?,Dans le bras
418,Otaku,Manga,"Comment s'appelle cette héroïne de comédie romantique qui, selon le titre de son manga, n'est pas ""juste mignonne"" (et est même carrément cool) ?",Shikimori
419,Otaku,Manga,Comment s'appelle le groupe de musique des héroïnes de K-On! ?,Hôkago Tea Time / HTT / Afterschool Tea Time
420,Otaku,Manga,Comment s'appelle le groupe de musique des héroïnes de Bocchi the Rock ?,Kessoku Band / Les Attaches
421,Otaku,Manga,Peux-tu me citer un manga écrit par Ken Akamatsu avant qu'il ne devienne le premier mangaka élu au Parlement japonais ?,"UQ Holder, Negima!, Love Hina, AI Nonstop, My Santa"
422,Otaku,Animé,"Quel nom bien franchouillard portait Mamoru Chiba, l'Homme Masqué, dans la VF de Sailor Moon ?",Bourdu
423,JV,Jeu Vidéo,"Dans la série de jeux Blazblue, comment s'appellent les attaques finales super classes qu'on ne peut lancer que lors du dernier round d'un match ?",Astral Finish
424,JV,Pokémon,Quelle attaque a contenu la CT28 des tout premiers jeux de Pokemon jusqu'à la 7e génération ?,Tunnel
425,Otaku,Manga,Quelle comédie romantique des années 2000 dont l'animé a eu trois saisons mettait en scène un chef d'orchestre et une pianiste aussi douée qu'extravagante ?,Nodame Cantabile
426,Otaku,Manga,Elle s'appelle comment l'héroïne de Merry Nightmare ?,Merry Nightmare
427,Culture G,Télévision,Quel est l'objectif de vie des fort sympathiques Daleks dans Doctor Who ?,L'EXTERMINATION
428,Otaku,Manga,"Dans quel manga/animé ayant pour thème la distribution du courrier rencontre-t-on des créatures géantes baptisées ""Insectarmures"" ?",Letter Bee
429,Otaku,Animé,Dans quel animé puis-je voir Hibiki mettre des patates de forain à des extraterrestres tout en chantant ?,Symphogear
430,Otaku,Manga,Quelle date (jour/mois/année) à ne pas oublier est inscrite à l'intérieur de la montre d'Edward Elric dans le manga Fullmetal Alchemist ?,3 octobre 1911
431,Otaku,Animé,Quelle date (jour/mois/année) à ne pas oublier est inscrite à l'intérieur de la montre d'Edward Elric dans l'adaptation animée de 2003 de Fullmetal Alchemist ?,3 octobre 1910
432,Otaku,Light Novel,Qu'arrive-t-il aux cinq personnages dans le premier arc de Kokoro Connect (light novel ayant connu une adaptation animée en 2012) ?,Ils échangent de corps de manière aléatoire
433,Otaku,Manga,"Natsume Yuujinchô, c'est un manga adapté à moultes reprises en animés depuis 2007. Sous quel titre est-il publié en France ?",Le Pacte des Yokai
434,Otaku,Light Novel,Peux-tu me donner le titre d'un des spin-offs de l'œuvre A Certain Magical Index ?,"To Aru Kagaku No Railgun / no Accelerator / no Dark Matter / no Mental Out / To Aru Nichijou no Index-san, etc."
435,Otaku,Manga,"Dans Soul Eater, combien d'âmes les armes démoniaques sont-elles censé absorber pour atteindre le rang de Death Scythe ?",100 (99 âmes humaines et 1 âme de sorcière)
436,Otaku,Manga,Comment s'appelle la planète d'origine de Lala et ses soeurs dans To Love-Ru ?,Deviluke
437,Culture G,Tech,"Quel raccourci clavier bien pratique apparu avec Windows 10 permet d'accèder facilement aux menus des émoji, des kaomoji et des caractères spéciaux ?",Windows + point-virgule
438,JV,Jeu Vidéo,Dans quelle série de jeux vidéos le moindre micro-détail sert de prétexte au premier quidam venu pour vous demander de résoudre une énigme ?,Professeur Layton
439,Otaku,Manga,Quel truc pas très cool peut arriver aux humains lambda dans Fire Force ?,La combustion spontanée et la transformation en torche humaine
440,Culture G,Langue,"Si je suis bibliothécaire et que je ""désherbe"" des livres, ça veut dire que je fais quoi ?",Que je m'en débarrasse
441,Otaku,Manga,"Ce sont les noms de quels auteurs qui servent à composer ""Conan Edogawa"", le pseudonyme de Shinichi Kudo dans Détective Conan ?",Arthur Conan Doyle et Edogawa Ranpo
442,Otaku,Manga,"Dans Azumanga Daioh, de quelle ville japonaise dont elle est originaire Ayumu Kasuga tire-t-elle son surnom ?",D'Osaka
443,Culture G,Internet,Cite-moi un jeu que le Joueur du Grenier a testé.,https://waa.ai/fAyP
444,Otaku,Animé,Vrai ou Faux : il existe un personnage d'animaux nommé John Wayne Vercingétorix ?,Vrai (dans Symphogear)
445,Otaku,Animé,"Dans quel animé est-ce-que je peux trouver des personnages nommés Special Week, El Condor Pasa ou encore Twin Turbo ? ",Dans Uma Musume: Pretty Derby
446,Otaku,Animé,De quoi sont tirés les noms des filles-juments de la franchise Uma Musume ?,Des noms de chevaux de course japonais dans le vrai monde de la réalité véritable.
447,Culture G,Musique,"Qui a dit ""on m'appelle l'OVNI"" ?",JUL
448,Otaku,VN,Peux-tu me citer une des œuvres principale (hors suites et spin-off) de la série de visual novels Science;Adventure,"Chaos;Head, Steins;Gate, Robotics;Notes, Chaos;Child, Occultic;Nine, Anonymous;Code"
449,Otaku,Animé,Quel animé a une histoire qui pourrait être racontée dans une vidéo YouTube intitulée : JE METS DES BANANES DANS LE MICRO-ONDE : ÇA TOURNE MAL ! (⊙﹏⊙),Steins;Gate
450,Otaku,VN,Comment s'appelle la petite figurine que Mayuri gagne dans un gachapon au début de Steins;Gate et qui par un énième effet papillon pourrait bien provoquer la 3e Guerre Mondiale ?,Metal Oopa
451,Otaku,Light Novel,"Est-ce que tu te souviens du nom complet à rallonge et 100% bourgeois de Louise, l'héroïne de Zero no Tsukaima ?",Louise Françoise Le Blanc de la Vallière
452,Otaku,Animé,Quelle est la formule magique de Dorémi dans Magical Doremi ?,Pirika Pirilala Popolina Peperuto (en VF : Pirikala paporina pekelatou pepelato)
453,Culture G,Internet,Quel est le principe du site Rotten Tomatoes ?,Il recense plein de critiques publiées partout sur Internet et attribut au film sélectionné une note globale plus ou moins positive.
454,JV,Pokémon,Toutes les versions des jeux Pokémon sur Game Boy étaient chacune attribuées à une couleur. Tu peux me les énumérer ?,"Version Rouge, Bleu, Jaune... et Vert pour le Japon !"
455,JV,Cinéma,Qui jouait Guile dans la fabuleuse adaptation cinématographique du jeu de baston Street Fighter ?,Jean-Claude Van Damme
456,Otaku,Animé,Comment a été renommé le Japon dans l'uinvers de Code Geass ?,Zone 11
457,Otaku,Animé,Dans quelle série animée le protagoniste se révolte contre le Saint-Empire de Britannia ?,Code Geass
458,Otaku,Animé,"Si tu es un Eleven dans Code Geass, ça veut dire quoi ?",Que tu es japonais (dômo)
459,JV,Mario,Comment s'appelle l'aspirateur à fantômes dans la série des Luigi's Mansion ?,"L'Ectoblast (3000 dans le 1, 5000 dans le 2, GLU dans le 3...)"
460,Culture G,Histoire,Dans quel pays a eu lieu en 1961 le Débarquement de la Baie des cochons (pas l'opération militaire américaine le plus glorieuse de la Guerre froide) ?,À Cuba
461,Otaku,Manga,Comment s'appelle la créature qui a élu domicile dans la main droite de Shin'ichi dans Parasite ?,Migi
462,Otaku,Manga,Peux-tu me citer un manga de basket ?,"Kuroko's Basket, SLAM DUNK, Real, Ahiru no Sora, I'll, Blue Box..."
463,Otaku,Animé,Peux-tu me citer un animé de baseball ?,"Ace of Diamond, One Outs, Cross Game, Ookiku Furikabutte, Major, TRIBE NINE, Tamayomi, Battery, Touch, Cinderella Nine, Major 2nd, MIX, Taishou Yakyuu Musume., Princess Nine, H2"
464,Otaku,Animé,Quelle est l'originalité de la création du design des méchas de la série de 2012 Rinne no Lagrange ?,Il a été imaginé par le responsable du design de Nissan Motors (Shiro Nakamura)
465,JV,Jeu Vidéo,Comment s'appelle le petit dragon violet héros de plusieurs jeux vidéos éponymes ?,Spyro
466,Culture G,Langue,"En français, quel mot désigne ""l'avant-avant-dernier"" ?",Antépénultième
467,Culture G,Cinéma,"Dans l'univers cinématographique Marvel, qui est le premier des Avengers ?",Captain America
468,Culture G,Cinéma,"Qui était les 6 Vengeurs dans le premier film Avengers, sorti en 2012 ?","Iron Man, Captain America, Hulk, Thor, Black Widow (Veuve-Noire) et Hawkeye (Oeil-de-Faucon)"
469,Culture G,Comics,Qui sont les créateurs du comics X-Men ?,Jack Kirby et Stan Lee
470,Culture G,Langue,"Les Japonais les appellent UMA (Unknown Mysterious Animals), mais nous, par quel terme désigne-t-on ces créatures dont l'existence n'est pas attestée (ex : yéti, chupacabra...) ?",Les cryptides
471,Otaku,Animé,Dans quel animé peut-on suivre un groupe de lycéens qui ont décidé de se révolter contre Dieu et affrontent régulièrement un personnage surnommé l'Ange ?,Angel Beats
472,JV,Jeu Vidéo,Quels sont les deux grands thèmes du jeu What Remains of Edith Finch ? ,La famille et la mort
473,JV,Jeu Vidéo,Que decouvre-t-on à chaque fois que l'on entre dans une chambre de la maison des Finch dans le jeu What Remains of Edith Finch ?,La façon dont est mort son occupant.
474,Otaku,Manga,"Je voulais poser une question sur un chouette manga de fantasy, mais mon autocorrecteur a transformé son titre en ""Freiner"". À ton avis, je voulais parler de quel manga ?",Frieren
475,Culture G,Bande dessinée,Quel chef d'œuvre de la bande dessinée doit-on à l'auteur Don Rosa ?,La jeunesse de Picsou
476,Culture G,Nourriture,Quelle barre chocolatée je ne dois surtout pas offrir à mon pote qui déteste la noix de coco ?,Un Bounty
477,Culture G,Nourriture,"Quand on dit que les pâtes sont ""al dente"", ça veut dire quoi ?",Qu'elles sont fermes.
478,JV,Mario,Comment il s'appelle le petit personnage sur son nuage volant qui te repèche à chaque fois que tu tombes dans Mario Kart ?,Lakitu
479,JV,Mario,Comment s'appelle l'opus Mario Kart sorti sur Game Boy Advance ?,Mario Kart: Super Circuit
480,JV,Mario,"Sorti en 2008, Mario Kart Wii a introduit un nouvel élément de gameplay majeur dans la série, quoi donc ?",L'arrivée des motos
481,JV,Mario,"Quel objet de Mario Kart a obtenu la capacité de voler dans l'opus sur GameCube, puis est redevenu un projectile restant au sol à partir de Mario Kart 7 ?",La carapace à épine (carapace bleue par abus de langage)
482,JV,Mobage,"C'est quoi le nom de ce jeu free-to-play avec un univers de fantasy auquel on a jamais joué, mais qu'on connait tous parce que tous les YouTubers en ont fait la promotion pendant un long moment ?",ＲＡＩＤ  ＳＨＡＤＯＷ  ＬＥＧＥＮＤＳ
483,Culture G,Musique,"Dans Vérone, chanson d'ouverture de la comédie musicale Roméo et Juliette, de la haine à l'amour, quel venin ""coule dans nos vie comme dans nos veines"" ?",Le venin de la Haine
484,Random,Jeu Vidéo,"Est-ce que tu peux imiter le rire de Monokuma, le nounours psychopathe de Danganronpa ?",Oupoupou  (´∀｀)
485,Otaku,Musique,De quelle chanson de France Gall la mélodie du générique japonais de Chocola & Vanilla est-elle très fortement inspirée ?,"Poupée de cire, Poupée de son"
486,Japon,Géographie,"Comment s'appelle ce quartier otaku situé à Tokyo qui regorge de boutiques et de salles d'arcades ? (enfin, surtout avant la pandémie de COVID)",Akihabara (Akiba)
487,Otaku,Manga,Quel personnage de My Hero Academia partage son nom avec un film de et avec Clint Eastwood ?,Gran Torino
488,JV,Smash Bros.,"On pouvait jouer Link enfant dans Super Smash Bros. Melee. Pour l'opus suivant, il a été remplacé par une autre version de Link, laquelle ?",Link Cartoon (de Wind Waker)
489,Otaku,Musique,Quelle est la particularité visuelle du très célèbre clip de Touhou Bad Apple ?,Il est intégralement en noir et blanc / les transitions entre les plans se font via les personnages ou leur objet
490,Otaku,Animé,Dans quel petit pays fictif européen se déroule le film Le Château de Cagliostro ?,La principauté de Cagliostro
491,Otaku,Animé,"Où dans l'animation japonaise peut-on trouver une Colline, deux châteaux, quelques voisins et pas mal de souvenirs et de contes ?",Dans les titres des films/la filmographie du studio Ghibli
492,Otaku,Animé,Quelle créatures du folklore japonais occupent une place importante dans la série Sarazanmai ?,Les kappas
493,Otaku,Animé,Quelle créatures du folklore japonais occupent une place importante dans la série The Eccentric Family / Uchôten Kazoku ?,Les tanukis
494,Otaku,Manga,"Quel mangaka est généralement désigné comme le le ""Roi du manga"", 'le Père du manga"" ou encore le ""Dieu du manga"" ?",Osamu Tezuka
495,Otaku,Animé,"Bon, du coup, c'est qui le nouveau Miyazaki ?","Dans le doute, c'est les amis qu'on s'est fait en chemin."
496,Otaku,Animé,Sous quel titre le film d'animation Penguin Highway est-il sorti en France ?,"Le Mystère des pingouins (en vrai, c'est des manchots, mais OSEF un peu)"
497,Otaku,Animé,"D'après le titre du film d'animation dont elles sont les héroïnes, que font Hana et Alice ?",Elles mènent l'enquête
498,Otaku,Animé,"Je suis un film du studio Ghibli, mon thème porte sur la nature, j'ai été charcuté par les américains pour durer 1h30 et j'ai eu droit à plusieurs noms incroyables tels que Warriors of the Wind, La princesse des étoiles, ou encore Le vaisseau fantôme. Je suis je suis... ?",Nausicaä de la Vallée du Vent
499,JV,Jeu Vidéo,"Dans le premier opus des Sims, quelle était une des meilleures façons de tuer un Sim qui a été rendue impossible dans les jeux suivants ?",Envoyer le Sim nager dans la piscine et retirer l'échelle.
500,Otaku,Musique,Est-ce que tu sais qui est Giorgio Vanni ?,"Un chanteur italien de génériques de dessins animés. Une sorte de Bernard Minet italien, mais en plus rock/auto-tamponneuse"
501,Otaku,Manga,Sous quel titre le manga de basketball Ahiru no Sora est-il publié en France ?,"Dream Team (sous-titré Ahiru no Sora, quand même)"
502,Otaku,Manga,Sous quel titre le manga de football Giant Killing est-il publié en France ?,"Aucun, il n'est pas publié en France (teehee)"
503,Culture G,Tech,"Quelle entreprise édite les logiciels Photoshop, Illustrator, InDesign ou encore After Effects ?",Adobe
504,JV,Jeu Vidéo,"Quel jeu vidéo te fais incarner un petit chevalier scarabée dans un monde crépusculaire qui fleure bon la mort, la tristesse et la mélancolie ?",Hollow Knight
505,Otaku,Animé,Pour quoi connait-on Kensuke Ushio dans le domaine de l'animation japonaise ?,"Pour son travail de compositeur (Silent Voice, Heike Story, Chaisaw Man, Liz et l'Oiseau bleu...)"
506,Culture G,Sport,Quel champion du monde de formule 1 est mort dans un accident lors du Grand Prix de Saint-Marin de 1994 ?,Ayrton Senna
507,Culture G,Télévision,"Dans la série Avatar, à quoi ressemble le tatouage qu'Aang a sur le crâne ?",Une flèche bleue
508,Otaku,Animé,Dans quelle série animée peut-on croiser la grande famille Dango ?,Clannad
509,Otaku,Animé,Comment s'appelaient les deux chanteuses au coeur de l'intrigue de Macross Frontier ?,Ranka Lee et Sheryl Nome
510,Otaku,Animé,Comment s'appelle le groupe d'idols qui joue un rôle important dans la série Macross Delta ?,Walküre
511,Otaku,Animé,"De quel shônen la série Thousand-Year Blood War est-elle la saison 2, arrivée 10 ans après la fin de la 1re saison ?",Bleach
512,Culture G,Littérature,Quel roman horrifique de Neil Gaiman du début des années 2000 a été adapté en un film d'animation en stop-motion avec des marionnettes en 2009 ?,Coraline
513,JV,Jeu Vidéo,"Dans Zelda Majora's Mask, combien d'heures a Link pour empêcher la Lune de s'écraser sur la Terre ?",72
514,Otaku,Manga,"Dans Mirai Nikki, qu'est-ce que le portable de Yuno lui permet de voir ?",Le futur proche de Yukiteru
515,Otaku,Manga,Dans quel manga un dieu nommé Deus Ex Machina pousse-t-il douze personnes à s'entretuer dans un jeu dont le dernier survivant pourra à son tour devenir un dieu ?,Mirai Nikki
516,Otaku,Manga,"Dans Mirai Nikki, le téléphone de Yukiteru lui permet de voir ce qui va se passer autour de lui dans le futur proche, mais il a un angle mort, lequel ?",Il ne sait pas ce qui va lui arriver directement
517,Japon,Tech,"Aujourd'hui, les japonais ont pas mal investi YouTube, mais comment s'appelle le site qu'on a appelé pendant des années le ""YouTube japonais"" ?","Nico Nico Dôga, puis Nico Nico tout court."
518,Culture G,Tech,Comment s'appelle la première vidéo YouTube de l'histoire ?,Me at the Zoo
519,Culture G,Tech,En quelle année le site YouTube a-t-il vu le jour ?,En 2005
520,Japon,Géographie,Pourquoi trouve-t-on un monument au Cap Soyâ à Hokkaidô ?,Pour marquer le fait qu'il s'agit du point le plus au nord du Japon
521,Otaku,Manga,À un moment dans le magnifique manga Honey & Clover Yûta décide de tout plaquer prend son vélo et part de Tokyo. Mais jusqu'où roule-t-il ?,"Jusqu'à ce qu'il ne puisse plus avancer, donc jusqu'à l'extrémité nord du du pays."
522,Otaku,Manga,Comment s'appelle le village du désert dans Naruto ?,Suna
523,Japon,Histoire,À quelle occasion la secte japonaise Aum s'est faite largement connaître dans les années 1990 ?,En organisant les attentats au gaz sarin dans le métro de Tokyo en mars 1995 (13 morts et plus de 6000 blessés)
524,Japon,Histoire,Quel événement tragique a eu lieu au Japon le 8 juillet 2022 ?,L'assassinat de l'ex premier ministre Shinzô Abe
525,Random,Random,"Tu connais la blague du ""quoi"" ?","(si la personne répond ""feur"" c'est bon)"
526,Otaku,Animé,"Quelle adaptation d'un manga de Osamu Tezuka est unanimement considérée comme étant la 1ère ""vraie"" série d'animation japonaise du monde ?",Astro Boy (Tetsuwan Atom)
527,Otaku,Animé,"Dans la série télé Evangelion, avant d'être bleue, l'Evangelion de Rei était peinte en... ?",Jaune
528,Otaku,Animé,Quelle série Love Live se déroule dans une école aménagée dans le célèbre bâtiment Tokyo Big Sight qui accueille habituellement le Comiket ?,Love Live Nijigasaki
529,Otaku,Manga,"Gokicha est un manga en 4 cases qui nous fait suivre les mésaventures de Gokicha, qui rêve de devenir amie avec les humains. Le problème c'est qu'elle est un insecte, lequel ?",Une blatte / cafard / cancrelat
530,Otaku,Manga,"Dans Food Wars!, quel est le talent de l'étudiant Akira Hayama ?","Il est spécialiste des épices et des arômes, et a par extension un super sens de odorat."
531,Otaku,Manga,"Dans Food Wars!, quel aliment maîtrise parfaitement Ikumi Mito ?",La viande
532,Otaku,Manga,"Dans quel manga est-il question d'un personnage possédant un ""palais divin"" ?",Food Wars! / Shokugeki no Soma
533,Otaku,Manga,"""Ce jour-là, l'humanité s'en est souvenue."" Quel manga / animé débute par cette célèbre phrase ?",L'Attaque des Titans
534,Culture G,Tech,Quelle était la particularité physique des téléphones de la marque BlackBerry ?,Ils avaient un clavier complet pour taper des messages.
535,Otaku,Animé,Peux-tu me citer ce manga ultra connu crée par la même personne qui a réalisée les films Steamboy et Memories ?,Akira
536,Otaku,Animé,"Dans Magical Dorémi, en quel animal s'est retrouvé transformé Maggi Grigri ?",En grenouille
537,Otaku,Animé,L'héroïne principale de Magical Dorémi se dit toujours qu'elle est... ?,La petite fille la plus malheureuse du monde.
538,Otaku,Animé,"Quel plat ADORE par dessus tout Dorémi, dans la série Magical Dorémi ?",Les steaks
539,Culture G,Livre,"Dans le jargon d'éditeur, comment appelle-t-on la partie d'un livre qui est visible une fois qu'il est rangé dans une bibliothèque ?",Le dos
540,Otaku,Animé,"Quel est l'objectif de vie de Oreki, le héros principal de la superbe série Hyôka ?",En faire le moins possible.
541,Otaku,VN,"Dans Higurashi no Naku Koro ni, lors du festival Watanagashi, que font les habitants du joyeux village d'Hinamizawa avec la rivière ?",Ils y déposent du coton (et l'origine du truc est HORRIBLE)
542,Otaku,V-Tubing,"Généralement, quand la Vtubeuse Pikamee a un fou rire, elle produit un son qui ressemble à quoi ?",À une bouilloire qui indique que l'eau est chaude.
543,Culture G,Sport,"Au tennis, combien tu dois gagner d'échanges pour remporter un jeu ?",4 échanges (15 - 30 - 40 - Jeu)
544,Culture G,Sport,"Si tu joues au tennis avec un pote et que vous arrivez à 40 - 40, qu'est-ce qu'il se passe ensuite ?",L'un des deux joueurs doit remporter 2 échanges de suite pour gagner.
545,Culture G,Tech,En quelle année est sorti le tout premier iPhone ?,En 2007
546,Culture G,Tech,Quel est le nom du 2e iPhone a avoir été commercialisé ?,L'iPhone 3G
547,Culture G,Littérature,Comment s'appelle le célèbre personnage de voleur créé par l'écrivain Maurice Leblanc ?,Arsène Lupin
548,Otaku,Manga,De qui Lupin III est-il le petit-fils ?,Arsène Lupin
549,JV,Console,Quelle console de Nintendo était surnommé Dolphin en interne ?,La GameCube
550,Otaku,Animé,"Conventionnellement, de combien d'images environ se compose 1 seconde d'animation japonaise ? moins de 12, 24, 30 ou 50 images par seconde ?",moins de 12
551,JV,Zelda,Comment s'appelle le bâteau de Link dans Wind Waker ?,Le Lion Rouge
552,Culture G,Tech,Cite-moi un logiciel de montage vidéo.,"Adobe Premiere Pro, Sony Vegas, DaVinci Resolve, Final Cut, Windows Movie Maker, Avidemux, Kdenlive "
553,Otaku,Animé,"Complète ce titre français de film Ghibli : Arrietty, le petit monde...",... des chapardeurs
554,Culture G,Musique,Pour quel tube de l'eurodance la chanteuse italienne Corona est-elle célèbre ?,The Rhythm of the Night ... (the night... oh yeah)
555,Otaku,Musique,Est-ce que tu peux me citer un groupe occidental dont une des chansons à servi de générique pour un animé ?,"Radiohead, Oasis, The Bangles, Savage Garden, Backstreet Boys, Duran Duran, Franz Ferdinand, YES, The Delgados, Mr. Big, The Who (et sûrement encore d'autres)..."
556,Otaku,Vocaloid,Quelle chanson de Vocaloid débilo-rigolote met en scène Rin et Gumi qui kiffent la bouffe chinoise et décident d'apprendre le mandarin pour pouvoir discuter avec leurs acteurs chinois favoris ?,"1, 2 Fanclub"
557,Otaku,Vocaloid,"Malgré les mélodies souvent entrainantes et les visuels chatoyants, peux-tu me citer des thèmes pas joyeux récurrents dans les chansons de Vocaloid ?","Dépression, harcèlement (scolaire, en ligne), mort, suicide, anxiété... la liste est longue"
558,Otaku,Vocaloid,"D'après le titre anglophone d'une chanson Vocaloid très connue composée par ryo, pour Hatsune Miku, l'amour c'est... ?",La guerre
559,Otaku,Vocaloid,Quel objet est au cœur du clip Vocaloid Love is War ?,Un mégaphone
560,Otaku,Vocaloid,Quelle OVA sortie en 2010 puis devenue série TV en 2012 est inspiré d'une chanson Vocaloid interprétée par Hatsune Miku ?,Black★Rock Shooter
561,Otaku,Vocaloid,"David Guetta et Hatsune Miku ont dans leur répertoire respectif une chanson ayant le même titre, laquelle ?",World is Mine
562,Otaku,Vocaloid,"Quelle chanson Vocaloid parle, entre autres, de poupées Russe ?",Matryoshka
563,Otaku,Animé,"Dans Sound! Euphonium, de quel instrument joue Kumiko, l'héroïne ?",De l'euphonium
